"Institution Name","City","State","movingAverage_cases","UGDS"
"","Virginia Beach, VA","Higher Education",0.0274214165481921,4740.82
"","Burlington, VT","Higher Education",0,7522.58
"","Rutland, VT","Higher Education",0,5704.23
"","Seattle, WA","Higher Education",0,9533.48
"","Spokane, WA","Higher Education",0,5738.29
"","Tacoma, WA","Higher Education",0,9765.69
"","Madison, WI","Higher Education",0,4832.57
"","Milwaukee, WI","Higher Education",0,6555.55
"","Charleston, WV","Higher Education",0,5954.85
"","Huntington, WV","Higher Education",1.58252309698387,4049.23
"","Casper, WY","Higher Education",0,6026.97
"","Cheyenne, WY","Higher Education",0,8714.09
"","Anchorage, AK","Elementary & Secondary School",38.3292021016037,6103.91
"","Fairbanks, AK","Elementary & Secondary School",42.6610521601254,5001.33
"","Birmingham, AL","Elementary & Secondary School",19.1160958355839,6683.53
"","Mobile, AL","Elementary & Secondary School",27.7176988032838,4683.65
"","Montgomery, AL","Elementary & Secondary School",25.2155535987394,5394.25
"","Ft. Smith, AR","Elementary & Secondary School",40.5551834613859,4688.18
"","Little Rock, AR","Elementary & Secondary School",35.0509810334203,5014.61
"","Mesa, AZ","Elementary & Secondary School",24.0648862801302,4381.82
"","Phoenix, AZ","Elementary & Secondary School",27.2624336411244,4733.73
"","Tucson, AZ","Elementary & Secondary School",24.9153654701024,4037.95
"","Anaheim, CA","Elementary & Secondary School",26.1753382674275,7400.21
"","Bakersfield, CA","Elementary & Secondary School",40.5701400171656,6314.94
"","Fremont, CA","Elementary & Secondary School",25.3016966757149,7471.08
"","Fresno, CA","Elementary & Secondary School",33.5719974744244,7269.63
"","Huntington Beach, CA","Elementary & Secondary School",28.6028492212748,5269.51
"","Long Beach, CA","Elementary & Secondary School",22.5016965014488,9445.91
"","Los Angeles, CA","Elementary & Secondary School",18.7937507352018,10031.26
"","Modesto, CA","Elementary & Secondary School",29.0906183893344,7317.72
"","Oakland, CA","Elementary & Secondary School",13.4790389653056,11566.7
"","Riverside, CA","Elementary & Secondary School",26.6886099502197,8212.08
"","Sacramento, CA","Elementary & Secondary School",25.3968415469984,7862.71
"","San Diego, CA","Elementary & Secondary School",26.1018234312003,6857.95
"","San Francisco, CA","Elementary & Secondary School",6.24196161994287,17828.53
"","San Jose, CA","Elementary & Secondary School",22.3949688928713,7856.72
"","Santa Ana, CA","Elementary & Secondary School",42.7340085226667,6099.03
"","Stockton, CA","Elementary & Secondary School",38.6743634260234,5938.43
"","Aurora, CO","Elementary & Secondary School",36.2625546182789,5272.96
"","Colorado Springs, CO","Elementary & Secondary School",32.047701257929,5137.81
"","Denver, CO","Elementary & Secondary School",18.7861215074168,9701.63
"","Bridgeport, CT","Elementary & Secondary School",38.4080368472699,6257.18
"","Hartford, CT","Elementary & Secondary School",38.72337305398,8455.72
"","New Haven, CT","Elementary & Secondary School",40.610144563215,7995.81
"","Washington, DC","Elementary & Secondary School",19.0682179114661,21251.75
"","Dover, DE","Elementary & Secondary School",22.3607192857796,5685.64
"","Wilmington, DE","Elementary & Secondary School",27.1186812110212,7757.42
"","Ft. Lauderdale, FL","Elementary & Secondary School",14.2740108048142,7824.29
"","Hialeah, FL","Elementary & Secondary School",21.1999587837209,6017.04
"","Jacksonville, FL","Elementary & Secondary School",23.1380870898508,5791.49
"","Miami, FL","Elementary & Secondary School",16.4710885483807,6772.23
"","Orlando, FL","Elementary & Secondary School",19.9923591955139,7721.7
"","St. Petersburg, FL","Elementary & Secondary School",22.8342344849142,5246.99
"","Tallahassee, FL","Elementary & Secondary School",13.2946840292534,6306.28
"","Tampa, FL","Elementary & Secondary School",21.5957931289671,7026.6
"","Atlanta, GA","Elementary & Secondary School",22.2449798722686,8470.9
"","Columbus, GA","Elementary & Secondary School",45.9945170607529,4085.4
"","Cedar Rapids, IA","Elementary & Secondary School",18.2669823545543,4776.87
"","Des Moines, IA","Elementary & Secondary School",38.2863253575725,5610.75
"","Boise, ID","Elementary & Secondary School",31.0394366639946,3181.05
"","Nampa, ID","Elementary & Secondary School",31.8518518518519,2413.8
"","Aurora, IL","Elementary & Secondary School",48.3695583853977,4772.94
"","Chicago, IL","Elementary & Secondary School",21.7650252637178,9024.8
"","Ft. Wayne, IN","Elementary & Secondary School",47.8314763377918,2847.79
"","Gary, IN","Elementary & Secondary School",23.221821146069,4097.31
"","Indianapolis, IN","Elementary & Secondary School",30.5540661952237,5520.64
"","Kansas City, KS","Elementary & Secondary School",29.2742983965225,7614.7
"","Topeka, KS","Elementary & Secondary School",35.7285629458648,4782.84
"","Wichita, KS","Elementary & Secondary School",39.7454563943277,4326.96
"","Lexington, KY","Elementary & Secondary School",38.9783086299622,3627.71
"","Louisville, KY","Elementary & Secondary School",38.1788443229256,4096.3
"","Baton Rouge, LA","Elementary & Secondary School",29.9845184746958,4411.71
"","New Orleans, LA","Elementary & Secondary School",10.1019764897838,5393.4
"","Shreveport, LA","Elementary & Secondary School",38.6933111684032,5438.02
"","Boston, MA","Elementary & Secondary School",29.2147156197065,7001.54
"","Springfield, MA","Elementary & Secondary School",51.4015990410718,5639.63
"","Worcester, MA","Elementary & Secondary School",43.8659744722536,5144.99
"","Baltimore, MD","Elementary & Secondary School",29.8270681402742,7341.62
"","Frederick, MD","Elementary & Secondary School",33.487223121895,7286.6
"","Lewiston, ME","Elementary & Secondary School",43.318133834435,4565.94
"","Portland, ME","Elementary & Secondary School",28.3257259580709,5781.67
"","Detroit, MI","Elementary & Secondary School",15.2993780282861,6926.36
"","Flint, MI","Elementary & Secondary School",9.71672068869171,8697.07
"","Grand Rapids, MI","Elementary & Secondary School",23.7623368749565,5030.65
"","Warren, MI","Elementary & Secondary School",35.4804625199362,4514.4
"","Minneapolis, MN","Elementary & Secondary School",20.2255649612172,8581.12
"","St. Paul, MN","Elementary & Secondary School",31.968253968254,7119
"","Kansas City, MO","Elementary & Secondary School",24.2331592088686,6564.27
"","St. Louis, MO","Elementary & Secondary School",17.5523039200076,6280.6
"","Gulfport, MS","Elementary & Secondary School",14.3453043801039,10776
"","Jackson, MS","Elementary & Secondary School",45.5100491009132,3647.59
"","Billings, MT","Elementary & Secondary School",34.2285667159771,3880.18
"","Missoula, MT","Elementary & Secondary School",30.9457050807498,3876.79
"","Charlotte, NC","Elementary & Secondary School",17.6852899818225,8163.96
"","Durham, NC","Elementary & Secondary School",31.1911675053472,3871.16
"","Greensboro, NC","Elementary & Secondary School",34.4926530139998,4321.5
"","Raleigh, NC","Elementary & Secondary School",36.3023674593507,4531.44
"","Bismarck, ND","Elementary & Secondary School",25.7023867865669,5080.89
"","Fargo, ND","Elementary & Secondary School",25.1218750830212,6022.56
"","Lincoln, NE","Elementary & Secondary School",43.2557255083728,4207.05
"","Omaha, NE","Elementary & Secondary School",31.3662929247666,6315.41
"","Manchester, NH","Elementary & Secondary School",36.7855022207444,4210.3
"","Nashua, NH","Elementary & Secondary School",47.8034406969096,3739.94
"","Albuquerque, NM","Elementary & Secondary School",36.2436006825939,3750.4
"","Las Cruces, NM","Elementary & Secondary School",33.4532632148198,3624.34
"","Las Vegas, NV","Elementary & Secondary School",29.5066477084873,5534.99
"","Reno, NV","Elementary & Secondary School",27.6410299532817,5113.63
"","Buffalo, NY","Elementary & Secondary School",44.0826691505383,8041.21
"","New York, NY","Elementary & Secondary School",22.9051610040397,15617.31
"","Rochester, NY","Elementary & Secondary School",43.9515485633449,9338.01
"","Syracuse, NY","Elementary & Secondary School",40.4196116229838,7978.33
"","Yonkers, NY","Elementary & Secondary School",28.9469417065289,10360.68
"","Akron, OH","Elementary & Secondary School",37.4590555719568,5690.64
"","Cincinnati, OH","Elementary & Secondary School",25.7439421231121,7433.71
"","Cleveland, OH","Elementary & Secondary School",25.4225579951558,9149.04
"","Columbus, OH","Elementary & Secondary School",26.7689476592983,6640.53
"","Dayton, OH","Elementary & Secondary School",33.1174147847652,5923.53
"","Toledo, OH","Elementary & Secondary School",33.1018591695733,5693.94
"","Oklahoma, OK","Elementary & Secondary School",35.2287825269775,3703.08
"","Tulsa, OK","Elementary & Secondary School",33.1011467948703,4291.09
"","Eugene, OR","Elementary & Secondary School",21.1573629983369,5796.28
"","Portland, OR","Elementary & Secondary School",24.3097849052478,6768.18
"","Salem, OR","Elementary & Secondary School",37.2050133272841,4408.25
"","Philadelphia, PA","Elementary & Secondary School",22.6950227090473,8342.49
"","Pittsburgh, PA","Elementary & Secondary School",22.8223342956743,8347.7
"","Providence, RI","Elementary & Secondary School",41.5369313488556,5871.57
"","Warwick, RI","Elementary & Secondary School",45.974883930215,4889.3
"","Charleston, SC","Elementary & Secondary School",28.1289377992727,4999.62
"","Columbia, SC","Elementary & Secondary School",21.9773593778868,5953.9
"","Rapid City, SD","Elementary & Secondary School",31.1321247129237,3448.56
"","Sioux Falls, SD","Elementary & Secondary School",36.2370808846896,4216.62
"","Chattanooga, TN","Elementary & Secondary School",11.1143209765294,11319.27
"","Knoxville, TN","Elementary & Secondary School",14.664845710911,8398.52
"","Memphis, TN","Elementary & Secondary School",17.8872379941629,7538
"","Nashville, TN","Elementary & Secondary School",22.553551437437,7199.62
"","Arlington, TX","Elementary & Secondary School",43.0931047245247,4647.24
"","Austin, TX","Elementary & Secondary School",17.1383139953788,7647.31
"","Corpus Christi, TX","Elementary & Secondary School",36.5370400531202,4789.14
"","Dallas, TX","Elementary & Secondary School",24.4221902924969,6667.42
"","El Paso, TX","Elementary & Secondary School",37.5339454413054,5122.19
"","Ft. Worth, TX","Elementary & Secondary School",32.1895955007571,5177.76
"","Garland, TX","Elementary & Secondary School",32.4964544982237,6409.53
"","Houston, TX","Elementary & Secondary School",32.0749535058378,5898.59
"","Lubbock, TX","Elementary & Secondary School",20.3238728130403,7027.45
"","San Antonio, TX","Elementary & Secondary School",25.6811900365869,7062.64
"","Provo, UT","Elementary & Secondary School",33.4245622998913,4775.53
"","Salt Lake City, UT","Elementary & Secondary School",17.904848353625,7204.92
"","Chesapeake, VA","Elementary & Secondary School",43.3685305857869,4689.76
"","Norfolk, VA","Elementary & Secondary School",26.3681302886979,6366.17
"","Richmond, VA","Elementary & Secondary School",24.2548596112311,6898.7
"","Virginia Beach, VA","Elementary & Secondary School",39.1295176783763,4740.82
"","Burlington, VT","Elementary & Secondary School",24.476442922508,7522.58
"","Rutland, VT","Elementary & Secondary School",52.1534019490799,5704.23
"","Seattle, WA","Elementary & Secondary School",14.7077457549604,9533.48
"","Spokane, WA","Elementary & Secondary School",32.3169445949926,5738.29
"","Tacoma, WA","Elementary & Secondary School",23.3563629400483,9765.69
"","Madison, WI","Elementary & Secondary School",35.3513761828592,4832.57
"","Milwaukee, WI","Elementary & Secondary School",29.1859569372516,6555.55
"","Charleston, WV","Elementary & Secondary School",26.5618781329505,5954.85
"","Huntington, WV","Elementary & Secondary School",33.3265830787582,4049.23
"","Casper, WY","Elementary & Secondary School",50.4002840564994,6026.97
"","Cheyenne, WY","Elementary & Secondary School",28.6685127190561,8714.09
"","Anchorage, AK","Libraries",0.440373465532749,6103.91
"","Fairbanks, AK","Libraries",1.16409035196638,5001.33
"","Birmingham, AL","Libraries",1.031790086975,6683.53
"","Mobile, AL","Libraries",1.06540838875663,4683.65
"","Montgomery, AL","Libraries",0.28344996987533,5394.25
"","Ft. Smith, AR","Libraries",0.846383884577811,4688.18
"","Little Rock, AR","Libraries",2.33577486584201,5014.61
"","Mesa, AZ","Libraries",0.43566371964161,4381.82
"","Phoenix, AZ","Libraries",0.542067249293897,4733.73
"","Tucson, AZ","Libraries",0.946272242103047,4037.95
"","Anaheim, CA","Libraries",0.51957984976102,7400.21
"","Bakersfield, CA","Libraries",0.109423050733657,6314.94
"","Fremont, CA","Libraries",0.232362657072338,7471.08
"","Fresno, CA","Libraries",0.35214997186927,7269.63
"","Huntington Beach, CA","Libraries",0.727202339496462,5269.51
"","Long Beach, CA","Libraries",0.541504206582532,9445.91
"","Los Angeles, CA","Libraries",0.569419993101565,10031.26
"","Modesto, CA","Libraries",0.276725537462488,7317.72
"","Oakland, CA","Libraries",0.711871147345397,11566.7
"","Riverside, CA","Libraries",0.34619730932967,8212.08
"","Sacramento, CA","Libraries",0.69060158647591,7862.71
"","San Diego, CA","Libraries",0.612573728300731,6857.95
"","San Francisco, CA","Libraries",0.706676321603632,17828.53
"","San Jose, CA","Libraries",0.662108360740869,7856.72
"","Santa Ana, CA","Libraries",0.426953138449885,6099.03
"","Stockton, CA","Libraries",0.66751649846845,5938.43
"","Aurora, CO","Libraries",0.989577011773273,5272.96
"","Colorado Springs, CO","Libraries",0.77056177632104,5137.81
"","Denver, CO","Libraries",0.663187526219821,9701.63
"","Bridgeport, CT","Libraries",0.657644498000697,6257.18
"","Hartford, CT","Libraries",0.927064756165058,8455.72
"","New Haven, CT","Libraries",0.394456596642491,7995.81
"","Washington, DC","Libraries",0.637829825779054,21251.75
"","Dover, DE","Libraries",1.0725265757241,5685.64
"","Wilmington, DE","Libraries",0.734135833821038,7757.42
"","Ft. Lauderdale, FL","Libraries",0.430582199790652,7824.29
"","Hialeah, FL","Libraries",0.468835174770319,6017.04
"","Jacksonville, FL","Libraries",0.616939682188867,5791.49
"","Miami, FL","Libraries",0.301525494556446,6772.23
"","Orlando, FL","Libraries",0.363132470828963,7721.7
"","St. Petersburg, FL","Libraries",0.608158201178199,5246.99
"","Tallahassee, FL","Libraries",0.370424402341793,6306.28
"","Tampa, FL","Libraries",0.358352546039336,7026.6
"","Atlanta, GA","Libraries",0.624372852943607,8470.9
"","Columbus, GA","Libraries",0,4085.4
"","Cedar Rapids, IA","Libraries",0.911266163826941,4776.87
"","Des Moines, IA","Libraries",0.728779574923139,5610.75
"","Boise, ID","Libraries",2.08893289951431,3181.05
"","Nampa, ID","Libraries",1.92393736017897,2413.8
"","Aurora, IL","Libraries",2.60237924633454,4772.94
"","Chicago, IL","Libraries",0.643670773867565,9024.8
"","Ft. Wayne, IN","Libraries",2.63959070015696,2847.79
"","Gary, IN","Libraries",1.36723850526321,4097.31
"","Indianapolis, IN","Libraries",0.937210178530025,5520.64
"","Kansas City, KS","Libraries",0.290490761290661,7614.7
"","Topeka, KS","Libraries",1.9051442239339,4782.84
"","Wichita, KS","Libraries",0.507515669199623,4326.96
"","Lexington, KY","Libraries",1.24375983747323,3627.71
"","Louisville, KY","Libraries",0.761907086883285,4096.3
"","Baton Rouge, LA","Libraries",2.13069308726095,4411.71
"","New Orleans, LA","Libraries",0,5393.4
"","Shreveport, LA","Libraries",1.61731659684959,5438.02
"","Boston, MA","Libraries",1.00920654598845,7001.54
"","Springfield, MA","Libraries",0.700223241595637,5639.63
"","Worcester, MA","Libraries",0.639845752858606,5144.99
"","Baltimore, MD","Libraries",0.490491199490031,7341.62
"","Frederick, MD","Libraries",0,7286.6
"","Lewiston, ME","Libraries",0.693175994428311,4565.94
"","Portland, ME","Libraries",1.07339228977095,5781.67
"","Detroit, MI","Libraries",0.677123337510612,6926.36
"","Flint, MI","Libraries",0.259167742699553,8697.07
"","Grand Rapids, MI","Libraries",1.58011390178208,5030.65
"","Warren, MI","Libraries",1.15962254120149,4514.4
"","Minneapolis, MN","Libraries",1.07596677356802,8581.12
"","St. Paul, MN","Libraries",1.35566793088917,7119
"","Kansas City, MO","Libraries",0.449554939086905,6564.27
"","St. Louis, MO","Libraries",1.47772505811547,6280.6
"","Gulfport, MS","Libraries",0.143095768374165,10776
"","Jackson, MS","Libraries",0.529116485131278,3647.59
"","Billings, MT","Libraries",0.795581648274049,3880.18
"","Missoula, MT","Libraries",0.694130969178109,3876.79
"","Charlotte, NC","Libraries",0.408747715569405,8163.96
"","Durham, NC","Libraries",1.07874642226103,3871.16
"","Greensboro, NC","Libraries",0.67430290408423,4321.5
"","Raleigh, NC","Libraries",0.575313807531381,4531.44
"","Bismarck, ND","Libraries",0.863037774878023,5080.89
"","Fargo, ND","Libraries",0.574174437448527,6022.56
"","Lincoln, NE","Libraries",0.545988281574975,4207.05
"","Omaha, NE","Libraries",0.554991679083385,6315.41
"","Manchester, NH","Libraries",0.426097902762273,4210.3
"","Nashua, NH","Libraries",0.930228827200436,3739.94
"","Albuquerque, NM","Libraries",0.752186433447099,3750.4
"","Las Cruces, NM","Libraries",0.501332656428481,3624.34
"","Las Vegas, NV","Libraries",0.600904428011613,5534.99
"","Reno, NV","Libraries",0.501991735811938,5113.63
"","Buffalo, NY","Libraries",0.380291025853074,8041.21
"","New York, NY","Libraries",0.287245370681635,15617.31
"","Rochester, NY","Libraries",1.06189648543962,9338.01
"","Syracuse, NY","Libraries",0.767077822050479,7978.33
"","Yonkers, NY","Libraries",0.672639247616952,10360.68
"","Akron, OH","Libraries",0.809926475756681,5690.64
"","Cincinnati, OH","Libraries",0.933315935111808,7433.71
"","Cleveland, OH","Libraries",1.05661359005972,9149.04
"","Columbus, OH","Libraries",1.30110096633853,6640.53
"","Dayton, OH","Libraries",2.65922515797168,5923.53
"","Toledo, OH","Libraries",1.92379968879194,5693.94
"","Oklahoma, OK","Libraries",0,3703.08
"","Tulsa, OK","Libraries",3.68577680729139,4291.09
"","Eugene, OR","Libraries",1.43385067664088,5796.28
"","Portland, OR","Libraries",1.38515819614727,6768.18
"","Salem, OR","Libraries",0.76266091986616,4408.25
"","Philadelphia, PA","Libraries",0.373989060819971,8342.49
"","Pittsburgh, PA","Libraries",0.344765624064113,8347.7
"","Providence, RI","Libraries",0.357314994115714,5871.57
"","Warwick, RI","Libraries",0.750618697973125,4889.3
"","Charleston, SC","Libraries",0.820662370340146,4999.62
"","Columbia, SC","Libraries",1.16209543324544,5953.9
"","Rapid City, SD","Libraries",1.32838054144339,3448.56
"","Sioux Falls, SD","Libraries",1.19218710720909,4216.62
"","Chattanooga, TN","Libraries",0.315126328818024,11319.27
"","Knoxville, TN","Libraries",0.365064320856532,8398.52
"","Memphis, TN","Libraries",0.373441231095781,7538
"","Nashville, TN","Libraries",0.808653790061142,7199.62
"","Arlington, TX","Libraries",0.44865339427273,4647.24
"","Austin, TX","Libraries",1.08796426455839,7647.31
"","Corpus Christi, TX","Libraries",0.288151943772786,4789.14
"","Dallas, TX","Libraries",0.361759121219302,6667.42
"","El Paso, TX","Libraries",0.257311813892105,5122.19
"","Ft. Worth, TX","Libraries",0.480516671301876,5177.76
"","Garland, TX","Libraries",0.313751554326136,6409.53
"","Houston, TX","Libraries",0.475706906226742,5898.59
"","Lubbock, TX","Libraries",0.200357170808757,7027.45
"","San Antonio, TX","Libraries",0.365868853573168,7062.64
"","Provo, UT","Libraries",0.593232583608521,4775.53
"","Salt Lake City, UT","Libraries",1.96462972524331,7204.92
"","Chesapeake, VA","Libraries",0.772107741121081,4689.76
"","Norfolk, VA","Libraries",1.0053140271152,6366.17
"","Richmond, VA","Libraries",0.324263991766565,6898.7
"","Virginia Beach, VA","Libraries",0.8104083259858,4740.82
"","Burlington, VT","Libraries",0.675964895022718,7522.58
"","Rutland, VT","Libraries",0.809399340489426,5704.23
"","Seattle, WA","Libraries",1.08365465706122,9533.48
"","Spokane, WA","Libraries",1.12280836277009,5738.29
"","Tacoma, WA","Libraries",0.922208261781809,9765.69
"","Madison, WI","Libraries",1.52734466339856,4832.57
"","Milwaukee, WI","Libraries",0.715729420109678,6555.55
"","Charleston, WV","Libraries",1.20590778944894,5954.85
"","Huntington, WV","Libraries",1.44768264583637,4049.23
"","Casper, WY","Libraries",0.0182512937678469,6026.97
"","Cheyenne, WY","Libraries",0.749246335532454,8714.09
"","Anchorage, AK","Public Welfare",0.0861742719011257,6103.91
"","Fairbanks, AK","Public Welfare",0,5001.33
"","Birmingham, AL","Public Welfare",0.000448864597001884,6683.53
"","Mobile, AL","Public Welfare",0.169312395247296,4683.65
"","Montgomery, AL","Public Welfare",0.138110024563192,5394.25
"","Ft. Smith, AR","Public Welfare",0.076148953325171,4688.18
"","Little Rock, AR","Public Welfare",0,5014.61
"","Mesa, AZ","Public Welfare",0.0817012109123606,4381.82
"","Phoenix, AZ","Public Welfare",0.0773174642406728,4733.73
"","Tucson, AZ","Public Welfare",1.4002154558625,4037.95
"","Anaheim, CA","Public Welfare",3.97488719914705,7400.21
"","Bakersfield, CA","Public Welfare",7.30569094876594,6314.94
"","Fremont, CA","Public Welfare",5.13232357303094,7471.08
"","Fresno, CA","Public Welfare",6.13387476391508,7269.63
"","Huntington Beach, CA","Public Welfare",5.5821129478832,5269.51
"","Long Beach, CA","Public Welfare",6.05828342637184,9445.91
"","Los Angeles, CA","Public Welfare",5.70476689867474,10031.26
"","Modesto, CA","Public Welfare",7.65689313064725,7317.72
"","Oakland, CA","Public Welfare",3.30197895683298,11566.7
"","Riverside, CA","Public Welfare",5.03477803431043,8212.08
"","Sacramento, CA","Public Welfare",5.56589267568052,7862.71
"","San Diego, CA","Public Welfare",4.04552380813508,6857.95
"","San Francisco, CA","Public Welfare",8.65438709753412,17828.53
